Name,AppStore_name,AppStore_id,GoogleStore_name
Crypto.com,crypto-com-buy-bitcoin-eth,1262148500,co.mona.android
Binance,binance-buy-bitcoin-crypto,1436799971,com.binance.dev
KuCoin,kucoin-buy-bitcoin-ether,1378956601,com.kubi.kucoin
Crypto Bubbles,crypto-bubbles,1599892658,net.cryptobubbles
OWNR Digital Wallet,ownr-digital-wallet,1459364947,com.ownrwallet.wallet
CoinMarketCap,coinmarketcap-crypto-tracker,1282107098,com.coinmarketcap.android
Blockchain.com Wallet,blockchain-com-wallet-buy-btc,493253309,piuk.blockchain.android
The Crypto App - Coin Tracker,the-crypto-app-coin-tracker,1339112917,com.crypter.cryptocyrrency
OKX,okx-buy-bitcoin-eth-crypto,1327268470,com.okinc.okex.gp
Exodus,exodus-crypto-bitcoin-wallet,1414384820,exodusmovement.exodus